"ログ統計レポート（サンプル / CSV）",2014-09-23 13:21:46,"","Generated by im-log-stats 1.0.16-SNAPSHOT"

期間別統計
#,集計期間▲,リクエスト数合計,リクエスト処理時間の合計(ms),リクエスト処理時間の平均値(ms),リクエスト処理時間の最小値(ms),リクエスト処理時間の中央値(ms),リクエスト処理時間の90%Line(ms),リクエスト処理時間の最大値(ms),リクエスト処理時間の標準偏差(ms),ユニークユーザ数,ユニークセッション数,有効セッション数,例外数合計,画面遷移数合計,画面遷移例外数合計,最大同時リクエスト数
1,2014-04-13 15:00 - 16:00,819,132331,162,0,1,19,104415,3669,4,8,7,2,884,1,6
2,2014-04-16 10:00 - 11:00,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
3,2014-04-16 11:00 - 12:00,374,42732,114,1,3,20,26476,1379,1,2,1,0,400,0,6
4,2014-04-16 15:00 - 16:00,154,2762,18,1,2,12,578,73,2,2,0,0,166,0,5
5,2014-04-16 16:00 - 17:00,99,3090,31,1,2,18,886,125,1,2,2,0,107,0,4
6,2014-04-16 17:00 - 18:00,74,2479,34,1,2,15,793,114,1,2,2,0,84,0,3
7,2014-04-24 16:00 - 17:00,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
8,2014-04-24 18:00 - 19:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,2014-04-29 01:00 - 02:00,53,26838,506,3,6,42,23945,3265,1,2,2,0,58,0,4
10,2014-04-29 02:00 - 03:00,2917,200341,69,1,7,97,24982,567,3,9,8,0,3082,0,6
11,2014-04-29 03:00 - 04:00,7,42,6,1,2,18,18,7,1,1,1,0,7,0,1
12,2014-04-29 04:00 - 05:00,364,6486,18,0,2,38,497,50,1,1,0,0,370,0,6
13,2014-04-29 14:00 - 15:00,468,55891,119,0,4,100,27090,1272,1,2,2,0,498,0,6
14,2014-04-29 15:00 - 16:00,2697,73583,27,1,3,58,2787,87,1,1,1,0,2739,0,6
15,2014-04-29 16:00 - 17:00,994,19071,19,1,2,38,748,60,2,4,4,0,1014,0,6
16,2014-04-29 17:00 - 18:00,2630,89294,34,1,4,72,2166,99,1,1,1,0,2794,0,6
17,2014-04-29 18:00 - 19:00,2004,41586,21,1,3,42,518,56,1,1,1,0,2035,0,6
18,2014-04-29 19:00 - 20:00,939,22900,24,1,4,52,1679,76,1,2,2,0,957,0,6
19,2014-04-29 20:00 - 21:00,332,50538,152,1,10,91,24731,1405,1,1,0,0,345,0,6
20,2014-04-29 21:00 - 22:00,509,79995,157,1,12,213,15416,780,2,4,4,0,574,1,6
21,2014-04-29 22:00 - 23:00,189,11218,59,1,3,65,1959,228,1,1,0,0,195,0,6
22,2014-05-12 22:00 - 23:00,1241,182387,147,1,8,204,26886,1130,2,6,6,0,1368,0,6
23,2014-05-15 10:00 - 11:00,436,60300,138,1,8,195,25559,1266,1,2,0,0,484,0,6
24,2014-05-15 16:00 - 17:00,309,55920,181,1,7,188,27657,1598,1,2,2,0,340,0,6
25,2014-05-25 22:00 - 23:00,752,107660,143,1,3,148,28449,1198,1,2,2,8,853,0,4
26,2014-05-29 16:00 - 17:00,133,40575,305,1,5,211,29812,2581,1,2,0,7,152,0,3
27,2014-05-29 17:00 - 18:00,309,55326,179,1,5,144,27758,1608,1,2,1,0,338,0,6
28,2014-06-12 16:00 - 17:00,105,9746,93,2,12,352,1212,200,2,3,3,11,128,5,6
29,2014-06-25 15:00 - 16:00,36,2389,66,4,10,45,1331,235,1,2,2,4,38,4,2
30,2014-06-25 16:00 - 17:00,206,31031,151,1,5,218,19032,1330,2,3,0,0,235,0,6
31,2014-06-28 23:00 - 00:00,211,46775,222,1,6,83,24948,1783,2,5,5,0,226,0,6
32,2014-07-08 09:00 - 10:00,67,8148,122,1,11,492,1436,251,2,3,0,3,81,3,6
33,2014-07-08 10:00 - 11:00,1052,463686,441,1,4,178,275244,8631,4,27,20,3,1190,2,6
34,2014-07-08 11:00 - 12:00,306,71203,233,1,6,245,20338,1636,2,8,0,0,342,0,5
35,2014-07-08 13:00 - 14:00,89,38480,432,2,7,261,28341,3004,1,3,1,0,99,0,3
36,2014-07-08 14:00 - 15:00,4,309,77,8,88,124,124,43,1,1,0,0,4,0,1
37,2014-07-10 16:00 - 17:00,436,65276,150,1,6,193,28275,1396,1,2,2,0,515,0,5
38,2014-07-10 17:00 - 18:00,113,4116,36,1,3,114,546,84,1,1,0,0,132,0,6
39,2014-07-20 11:00 - 12:00,204,54011,265,1,10,213,26897,1966,1,2,1,0,225,0,6

リクエスト処理時間総合ランク,20/21632
#,リクエストURL,処理時間(ms)▼,ログ出力日時,セッションID,ユーザID
1,"http://localhost:8088/imart/system/settings/tenant/register",275244,2014-07-08 10:51:13.325,"aaadJQ3G2ZXPlhsewPtCu","anonymous"
2,"http://localhost:8088/imart/system/settings/tenant/register",104415,2014-04-13 15:27:03.368,"aaamp8S2pv7k76g2HWzvu","system"
3,"http://localhost:8088/imart/home",29812,2014-05-29 16:18:54.060,"aaaoWL-rEux387LJa2gzu","ueda"
4,"http://localhost:8088/imart/home",28449,2014-05-25 22:36:08.966,"aaaXPMKXuRJbLfLT-LZyu","ueda"
5,"http://localhost:8088/imart/home",28341,2014-07-08 13:28:26.572,"aaacOfoFkpDHXdi4LouCu","ueda"
6,"http://localhost:8088/imart/home",28275,2014-07-10 16:30:47.641,"aaaKAF6f8z3Lt8mZGlFCu","ueda"
7,"http://localhost:8088/imart/home",27758,2014-05-29 17:14:27.346,"aaaM18nww_ZDGfP4Uchzu","ueda"
8,"http://localhost:8088/imart/home",27671,2014-07-08 10:29:14.379,"aaahznJqWXZCL4nmLLtCu","ueda"
9,"http://localhost:8088/imart/home",27657,2014-05-15 16:37:30.100,"aaaFErBMhXqZocepb0_xu","ueda"
10,"http://localhost:8088/imart/home",27090,2014-04-29 14:55:16.833,"aaabNV1J3UHqXhA0ldSwu","ueda"
11,"http://localhost:8088/imart/home",26897,2014-07-20 11:03:48.843,"aaasrkW7d229waMOKGrDu","ueda"
12,"http://localhost:8088/imart/home",26886,2014-05-12 22:51:01.378,"aaa8ui4iixKwg7QzVSWxu","ueda"
13,"http://localhost:8088/imart/home",26476,2014-04-16 11:00:44.280,"aaa3vsRcBXx3re3I1qOvu","ueda"
14,"http://localhost:8088/imart/home",26249,2014-05-12 22:32:44.296,"aaaDZDpxS_-yGfj4JOWxu","ueda"
15,"http://localhost:8088/imart/home",25559,2014-05-15 10:11:12.454,"aaaoIuj8Ljrea9q3MB9xu","ueda"
16,"http://localhost:8088/imart/home",25497,2014-07-08 10:45:07.203,"aaaQmQI-vPK4HcxsoPtCu","ueda"
17,"http://localhost:8088/imart/home",24982,2014-04-29 02:31:05.794,"aaaqtE6mMgs4u8Wl3yPwu","ueda"
18,"http://localhost:8088/imart/home",24948,2014-06-28 23:35:51.844,"aaaFM04gtGwvL_fiV5IBu","anonymous"
19,"http://localhost:8088/imart/home",24731,2014-04-29 20:00:24.369,"aaaMyl5uppzzSbt-bjTwu","ueda"
